age,Account_Balance
55-60,74557.27
50-54,74622.66
18-21,66817.99
55-60,58177.08
40-44,16108.56
50-54,61258.85
61-70,36313.61
31-33,16948.73
50-54,18138.71
31-33,65801.35
18-21,25427.07
55-60,38070.74
61-70,38362.08
45-49,49403.41
34-39,73121.31
50-54,80388.02
34-39,52977.93
55-60,74322.85
34-39,61702.79
34-39,6965.92
55-60,56941.65
31-33,43618.85
61-70,27632.7
50-54,81193.06
22-28,41382.71
18-21,90875.53
22-28,83606.71
40-44,46148.71
22-28,68659.9
22-28,60905.65
31-33,64178.91
18-21,58794.92
34-39,88389.09
61-70,95269.44
40-44,77080.46
31-33,95489.06
61-70,36969.14
45-49,80262.12
40-44,47953.15
45-49,30057.34
18-21,28621.67
45-49,7032.29
61-70,24107.13
18-21,86454.69
40-44,14146.95
34-39,73623.01
18-21,20585.87
40-44,97275.41
22-28,66098.69
40-44,25394.1
50-54,51041.3
55-60,99495.5
45-49,99152.33
50-54,96875.82
50-54,56382.68
31-33,12557.81
18-21,85365.38
50-54,27230.41
55-60,9678.94
45-49,92123.96
22-28,56503.72
40-44,64194.66
18-21,34512.1
34-39,83987.42
34-39,26554.18
45-49,10877.55
40-44,62564.13
61-70,85062.82
61-70,46025.28
40-44,11443.56
61-70,86178.85
45-49,7007.34
45-49,6885.13
34-39,93302.32
55-60,13295.58
61-70,29785.27
22-28,75460.68
50-54,6112.15
31-33,18667.29
22-28,60633.29
61-70,72909.22
34-39,41646.26
61-70,42438.41
40-44,32999.19
50-54,22384.52
55-60,13913.52
31-33,71793.02
31-33,92083.1
61-70,70000.09
22-28,53690.14
45-49,92274.67
50-54,58749.01
55-60,44275.63
18-21,81233.02
34-39,62289.55
22-28,34503.12
61-70,59947.7
45-49,14260.7
45-49,43890.97
31-33,12310.81
